Ligand,Mode,Vina_Affinity,CNN_Pose_Confidence,CNN_pKd
candidate_1,1,-7.58,0.9624,7.504
candidate_1,2,-8.09,0.9623,7.512
candidate_1,3,-7.47,0.9579,7.39
candidate_1,4,-7.46,0.9505,7.323
candidate_1,5,-7.3,0.9475,7.354
candidate_1,6,-7.57,0.9282,7.536
candidate_1,7,-7.7,0.9233,7.176
candidate_1,8,-7.26,0.8538,7.237
candidate_1,9,-6.93,0.8439,7.221
candidate_10,1,-7.1,0.9755,7.366
candidate_10,2,-6.8,0.9722,7.584
candidate_10,3,-7.17,0.9685,7.579
candidate_10,4,-6.8,0.9671,7.514
candidate_10,5,-7.42,0.9657,7.586
candidate_10,6,-7.29,0.9627,7.572
candidate_10,7,-7.08,0.9618,7.702
candidate_10,8,-6.75,0.96,7.21
candidate_10,9,-7.4,0.9557,7.486
candidate_100,1,-7.65,0.9674,7.619
candidate_100,2,-7.27,0.9652,7.615
candidate_100,3,-7.24,0.9636,7.564
candidate_100,4,-7.69,0.95,7.582
candidate_100,5,-6.63,0.9435,7.549
candidate_100,6,-6.58,0.942,7.466
candidate_100,7,-7.45,0.9415,7.506
candidate_100,8,-8.02,0.9378,7.067
candidate_100,9,-6.75,0.9282,7.285
candidate_101,1,-7.17,0.8828,7.364
candidate_101,2,-6.32,0.8121,7.314
candidate_101,3,-6.47,0.8101,7.123
candidate_101,4,-6.9,0.683,7.022
candidate_101,5,-6.71,0.6549,6.744
candidate_101,6,-6.04,0.6504,6.91
candidate_101,7,21.37,0.643,6.465
candidate_101,8,2.56,0.6341,7.033
candidate_101,9,34.14,0.6202,6.323
candidate_102,1,-6.99,0.9689,7.248
candidate_102,2,-7.43,0.9657,7.205
candidate_102,3,-6.61,0.889,6.898
candidate_102,4,-6.15,0.8465,6.748
candidate_102,5,-5.78,0.8308,7.029
candidate_102,6,-6.6,0.8096,6.996
candidate_102,7,-6.66,0.7989,7.028
candidate_102,8,-6.79,0.7677,6.683
candidate_102,9,-6.3,0.7371,6.672
candidate_103,1,-7.49,0.9589,8.081
candidate_103,2,-7.85,0.9369,7.818
candidate_103,3,-6.91,0.9349,7.842
candidate_103,4,-7.02,0.882,7.594
candidate_103,5,-7.3,0.8461,7.177
candidate_103,6,-7.14,0.834,7.535
candidate_103,7,-7.14,0.8292,7.202
candidate_103,8,-5.28,0.8256,7.404
candidate_103,9,-7.25,0.8224,7.265
candidate_104,1,-6.23,0.8701,7.024
candidate_104,2,-6.2,0.8007,6.638
candidate_104,3,-7.17,0.7598,6.646
candidate_104,4,-6.14,0.734,6.839
candidate_104,5,-6.65,0.7255,6.553
candidate_104,6,-7.74,0.6629,6.493
candidate_104,7,-6.56,0.6574,6.412
candidate_104,8,-6.46,0.6369,6.512
candidate_104,9,20.21,0.6106,6.31
candidate_105,1,21.99,0.6264,5.593
candidate_105,2,2.07,0.5388,5.176
candidate_105,3,5.37,0.5386,6.29
candidate_105,4,13.07,0.5083,5.296
candidate_105,5,12.94,0.4991,5.798
candidate_105,6,2.29,0.4983,5.538
candidate_105,7,7.0,0.4908,5.894
candidate_105,8,11.96,0.4887,5.942
candidate_105,9,3.45,0.4884,5.994
candidate_106,1,-7.09,0.911,7.148
candidate_106,2,-6.78,0.9089,6.974
candidate_106,3,-6.45,0.8975,7.099
candidate_106,4,-6.93,0.8974,7.118
candidate_106,5,-4.85,0.7877,6.95
candidate_106,6,-6.89,0.6547,6.795
candidate_106,7,-6.55,0.5857,6.52
candidate_106,8,-7.01,0.5556,6.515
candidate_106,9,-6.74,0.5521,6.693
candidate_107,1,-5.75,0.9209,7.043
candidate_107,2,-6.49,0.916,7.08
candidate_107,3,-5.19,0.9124,7.011
candidate_107,4,-6.01,0.8975,6.98
candidate_107,5,-5.88,0.7874,6.79
candidate_107,6,-5.53,0.6923,6.793
candidate_107,7,13.21,0.6417,6.309
candidate_107,8,5.62,0.6149,6.305
candidate_107,9,16.41,0.599,6.178
candidate_108,1,-6.68,0.8977,7.552
candidate_108,2,-7.07,0.8908,7.448
candidate_108,3,-4.65,0.7142,7.217
candidate_108,4,-7.76,0.6633,7.067
candidate_108,5,-6.2,0.6462,7.096
candidate_108,6,34.9,0.6403,6.923
candidate_108,7,-7.97,0.6101,7.103
candidate_108,8,17.35,0.5964,6.626
candidate_108,9,18.76,0.5666,7.084
candidate_109,1,-7.8,0.7569,7.007
candidate_109,2,-7.82,0.673,6.773
candidate_109,3,-7.91,0.6358,6.906
candidate_109,4,-1.1,0.6264,5.995
candidate_109,5,-1.54,0.5564,5.043
candidate_109,6,-6.0,0.4963,6.832
candidate_109,7,-7.57,0.4711,6.691
candidate_109,8,10.31,0.4463,6.099
candidate_109,9,13.07,0.4256,5.47
candidate_11,1,-8.39,0.9567,7.676
candidate_11,2,-7.92,0.9525,7.59
candidate_11,3,-8.13,0.9414,7.657
candidate_11,4,-7.22,0.9292,7.602
candidate_11,5,-7.63,0.9289,7.536
candidate_11,6,3.96,0.593,6.516
candidate_11,7,8.3,0.5323,6.781
candidate_11,8,-6.73,0.4806,7.015
candidate_11,9,-3.86,0.3483,6.402
candidate_110,1,-7.14,0.8595,7.004
candidate_110,2,-7.12,0.8452,6.949
candidate_110,3,-7.16,0.8025,6.92
candidate_110,4,-6.56,0.6797,6.758
candidate_110,5,5.6,0.6059,6.252
candidate_110,6,10.14,0.5772,5.949
candidate_110,7,0.91,0.5768,6.27
candidate_110,8,-1.83,0.5743,6.553
candidate_110,9,-3.63,0.5657,6.565
candidate_111,1,-6.45,0.9253,7.032
candidate_111,2,-6.65,0.8947,6.894
candidate_111,3,-6.68,0.8855,6.849
candidate_111,4,-6.62,0.8737,6.79
candidate_111,5,-5.97,0.8005,6.867
candidate_111,6,-5.69,0.7854,6.861
candidate_111,7,-6.16,0.6868,6.381
candidate_111,8,-5.87,0.6761,6.535
candidate_111,9,-5.68,0.6287,6.565
candidate_112,1,14.97,0.6029,5.876
candidate_112,2,13.58,0.5792,5.854
candidate_112,3,10.44,0.4619,4.981
candidate_112,4,40.44,0.4565,5.501
candidate_112,5,13.29,0.43,6.315
candidate_112,6,10.98,0.3887,5.434
candidate_112,7,7.55,0.3649,4.89
candidate_112,8,25.51,0.3497,6.097
candidate_112,9,14.04,0.3483,5.667
candidate_113,1,-7.65,0.8068,7.017
candidate_113,2,-7.7,0.7813,7.063
candidate_113,3,-7.39,0.7795,6.976
candidate_113,4,-7.27,0.7051,7.017
candidate_113,5,-7.6,0.6966,6.961
candidate_113,6,-6.95,0.6504,6.871
candidate_113,7,1.65,0.6289,7.055
candidate_113,8,-7.85,0.6187,7.009
candidate_113,9,24.66,0.6129,6.67
candidate_114,1,-6.18,0.9331,7.188
candidate_114,2,-6.46,0.9223,6.996
candidate_114,3,-5.85,0.8705,6.972
candidate_114,4,-6.17,0.8634,6.759
candidate_114,5,-5.7,0.8512,6.645
candidate_114,6,-5.55,0.7029,6.552
candidate_114,7,-5.41,0.6593,6.411
candidate_114,8,-6.07,0.5984,6.461
candidate_114,9,-5.99,0.4942,6.468
candidate_115,1,-6.25,0.9525,6.675
candidate_115,2,-6.57,0.9365,7.049
candidate_115,3,-6.44,0.9069,6.889
candidate_115,4,-6.64,0.8911,6.968
candidate_115,5,-6.76,0.8586,6.776
candidate_115,6,-6.76,0.8222,6.254
candidate_115,7,-6.5,0.8133,6.505
candidate_115,8,-6.38,0.8047,6.528
candidate_115,9,-6.1,0.7656,6.246
candidate_116,1,-6.7,0.7558,6.79
candidate_116,2,-6.92,0.7447,6.858
candidate_116,3,-7.11,0.7434,6.951
candidate_116,4,-6.19,0.6166,6.83
candidate_116,5,-4.33,0.4587,6.392
candidate_116,6,11.39,0.37,5.898
candidate_116,7,-6.03,0.255,6.357
candidate_116,8,-5.44,0.2377,6.206
candidate_116,9,-6.54,0.2316,5.706
candidate_117,1,-7.34,0.9687,7.674
candidate_117,2,-7.66,0.9336,7.291
candidate_117,3,-7.52,0.9232,7.344
candidate_117,4,-6.97,0.9068,7.301
candidate_117,5,-7.51,0.8986,7.317
candidate_117,6,-6.85,0.8923,7.33
candidate_117,7,-6.45,0.8905,7.362
candidate_117,8,-6.89,0.8871,7.271
candidate_117,9,-6.65,0.8734,7.215
candidate_118,1,-6.69,0.943,6.544
candidate_118,2,-6.74,0.9295,6.736
candidate_118,3,-6.49,0.8596,6.46
candidate_118,4,-6.44,0.8406,6.433
candidate_118,5,-6.25,0.7118,5.838
candidate_118,6,-6.7,0.6845,6.094
candidate_118,7,-6.49,0.6694,5.897
candidate_118,8,20.49,0.6604,6.119
candidate_118,9,-6.46,0.6198,5.847
candidate_119,1,-7.28,0.8705,7.257
candidate_119,2,-6.57,0.8567,7.148
candidate_119,3,-6.57,0.8279,7.092
candidate_119,4,-6.93,0.8117,7.106
candidate_119,5,-7.09,0.8031,7.004
candidate_119,6,-7.04,0.6259,6.927
candidate_119,7,11.5,0.5004,6.221
candidate_119,8,13.52,0.4845,6.353
candidate_119,9,6.61,0.4801,6.6
candidate_12,1,-6.56,0.8534,6.789
candidate_12,2,-7.4,0.7699,6.759
candidate_12,3,-6.87,0.7249,6.727
candidate_12,4,6.77,0.7179,6.739
candidate_12,5,-7.72,0.6992,6.687
candidate_12,6,5.58,0.6909,6.392
candidate_12,7,13.23,0.6107,5.954
candidate_12,8,8.62,0.5977,5.716
candidate_12,9,22.14,0.5847,5.878
candidate_120,1,-7.49,0.7118,6.916
candidate_120,2,11.01,0.7006,6.626
candidate_120,3,-7.62,0.6576,6.894
candidate_120,4,-6.99,0.6559,6.955
candidate_120,5,11.78,0.6471,7.189
candidate_120,6,-6.21,0.6256,6.716
candidate_120,7,6.73,0.6131,5.832
candidate_120,8,2.54,0.6067,5.981
candidate_120,9,4.88,0.5886,6.142
candidate_121,1,-7.77,0.9204,7.183
candidate_121,2,-6.51,0.8472,6.969
candidate_121,3,-7.56,0.7755,6.812
candidate_121,4,-6.39,0.7628,6.718
candidate_121,5,-7.36,0.7485,6.95
candidate_121,6,-6.77,0.7307,6.813
candidate_121,7,-6.08,0.7289,6.749
candidate_121,8,-7.44,0.7085,6.9
candidate_121,9,-6.6,0.6298,6.607
candidate_122,1,-7.85,0.9111,7.298
candidate_122,2,-7.5,0.8753,7.26
candidate_122,3,-6.74,0.7796,7.061
candidate_122,4,13.93,0.5775,6.024
candidate_122,5,-5.98,0.5034,6.718
candidate_122,6,15.05,0.4738,5.993
candidate_122,7,21.1,0.3584,5.655
candidate_122,8,-7.71,0.3394,6.248
candidate_122,9,-3.85,0.3259,6.286
candidate_123,1,-7.49,0.9705,7.626
candidate_123,2,-7.6,0.941,7.484
candidate_123,3,-6.29,0.9234,7.33
candidate_123,4,-7.89,0.9074,6.992
candidate_123,5,-7.45,0.8502,7.189
candidate_123,6,-6.45,0.8388,7.114
candidate_123,7,-6.87,0.805,6.886
candidate_123,8,-7.56,0.7205,6.875
candidate_123,9,-7.02,0.6217,6.779
candidate_124,1,-6.27,0.9179,7.058
candidate_124,2,-6.49,0.7731,6.581
candidate_124,3,-7.81,0.7553,6.847
candidate_124,4,-6.6,0.7486,6.696
candidate_124,5,-6.96,0.7392,6.561
candidate_124,6,-6.29,0.66,6.305
candidate_124,7,10.06,0.65,6.375
candidate_124,8,-7.19,0.6427,6.368
candidate_124,9,22.49,0.6312,5.929
candidate_125,1,-7.74,0.9653,7.023
candidate_125,2,-6.95,0.9624,7.032
candidate_125,3,-7.23,0.9058,6.902
candidate_125,4,-6.99,0.8966,6.665
candidate_125,5,-7.27,0.8953,6.579
candidate_125,6,-7.27,0.8928,6.614
candidate_125,7,-6.97,0.8821,6.848
candidate_125,8,-7.71,0.8698,6.686
candidate_125,9,-6.98,0.8691,6.937
candidate_126,1,-7.33,0.9252,7.135
candidate_126,2,-6.67,0.8501,6.982
candidate_126,3,-7.01,0.8251,6.773
candidate_126,4,7.83,0.6428,6.382
candidate_126,5,18.83,0.6032,6.465
candidate_126,6,22.27,0.589,6.099
candidate_126,7,17.09,0.5724,6.353
candidate_126,8,-5.49,0.5659,6.98
candidate_126,9,12.42,0.5526,5.941
candidate_127,1,-6.89,0.9165,7.199
candidate_127,2,-7.25,0.8929,7.261
candidate_127,3,-6.77,0.8687,7.163
candidate_127,4,-6.32,0.855,7.118
candidate_127,5,-6.08,0.801,7.211
candidate_127,6,-7.46,0.7758,6.993
candidate_127,7,-7.01,0.7301,6.64
candidate_127,8,-6.64,0.7208,6.899
candidate_127,9,8.02,0.6974,6.826
candidate_128,1,-6.57,0.8564,7.133
candidate_128,2,-6.6,0.8405,7.08
candidate_128,3,-7.11,0.8399,7.248
candidate_128,4,-6.76,0.8314,7.109
candidate_128,5,-6.34,0.7977,6.915
candidate_128,6,-6.2,0.7839,6.964
candidate_128,7,-6.81,0.7746,6.779
candidate_128,8,-6.63,0.7606,7.392
candidate_128,9,-6.84,0.7504,7.186
candidate_129,1,-6.36,0.9344,7.391
candidate_129,2,-7.18,0.9156,7.108
candidate_129,3,-7.01,0.9136,7.25
candidate_129,4,-6.64,0.9102,7.255
candidate_129,5,-5.07,0.9087,7.63
candidate_129,6,-7.31,0.9007,7.371
candidate_129,7,-7.3,0.897,7.41
candidate_129,8,-8.17,0.8704,6.901
candidate_129,9,-7.98,0.8282,6.809
candidate_13,1,-7.25,0.9514,7.331
candidate_13,2,-6.87,0.739,7.279
candidate_13,3,14.09,0.7344,6.738
candidate_13,4,17.5,0.6953,6.71
candidate_13,5,-6.86,0.6335,6.717
candidate_13,6,19.39,0.6216,6.081
candidate_13,7,15.7,0.5819,5.987
candidate_13,8,-6.48,0.5168,6.555
candidate_13,9,14.12,0.4877,6.344
candidate_130,1,-7.99,0.9106,7.396
candidate_130,2,-6.0,0.9009,7.609
candidate_130,3,-6.87,0.762,7.152
candidate_130,4,16.05,0.6624,6.778
candidate_130,5,11.17,0.6603,6.676
candidate_130,6,-6.84,0.6312,6.762
candidate_130,7,16.08,0.6046,6.689
candidate_130,8,4.57,0.5845,6.668
candidate_130,9,5.55,0.5705,6.833
candidate_131,1,-6.95,0.9369,6.88
candidate_131,2,-6.95,0.923,6.904
candidate_131,3,-6.6,0.9222,6.895
candidate_131,4,-6.47,0.9202,6.971
candidate_131,5,-6.14,0.907,6.335
candidate_131,6,-6.02,0.8965,6.459
candidate_131,7,-5.98,0.8757,6.317
candidate_131,8,-5.96,0.873,6.543
candidate_131,9,-6.6,0.7458,6.671
candidate_132,1,-7.92,0.734,7.296
candidate_132,2,-7.87,0.6596,7.193
candidate_132,3,-7.3,0.6163,7.219
candidate_132,4,-7.5,0.6054,7.033
candidate_132,5,-8.49,0.5839,7.144
candidate_132,6,-6.54,0.5697,7.116
candidate_132,7,-7.36,0.5487,7.116
candidate_132,8,-7.27,0.5358,7.162
candidate_132,9,-7.01,0.5295,7.131
candidate_133,1,-6.49,0.891,7.27
candidate_133,2,-6.46,0.8437,6.764
candidate_133,3,-6.74,0.8291,6.961
candidate_133,4,-7.02,0.8199,6.976
candidate_133,5,-6.68,0.8117,7.022
candidate_133,6,-7.07,0.7654,6.998
candidate_133,7,-6.67,0.748,7.059
candidate_133,8,-6.35,0.6923,6.9
candidate_133,9,3.3,0.6656,6.639
candidate_134,1,-6.6,0.9388,6.374
candidate_134,2,-5.05,0.8899,6.663
candidate_134,3,-6.71,0.8233,6.34
candidate_134,4,4.48,0.6878,6.51
candidate_134,5,-5.93,0.616,5.915
candidate_134,6,-0.24,0.6034,6.07
candidate_134,7,2.38,0.5941,5.665
candidate_134,8,7.82,0.587,6.095
candidate_134,9,-1.99,0.5849,6.41
candidate_135,1,-7.22,0.8591,6.904
candidate_135,2,-6.1,0.8543,6.907
candidate_135,3,-6.76,0.8503,6.817
candidate_135,4,-6.3,0.8498,6.878
candidate_135,5,-7.39,0.8229,6.733
candidate_135,6,-6.16,0.7541,6.641
candidate_135,7,-6.44,0.6817,6.641
candidate_135,8,6.75,0.5703,5.959
candidate_135,9,7.17,0.5691,5.459
candidate_136,1,-7.44,0.9504,7.391
candidate_136,2,-7.05,0.8994,7.001
candidate_136,3,9.37,0.6219,6.691
candidate_136,4,31.37,0.5774,6.407
candidate_136,5,-7.42,0.5583,6.885
candidate_136,6,32.14,0.5122,6.05
candidate_136,7,15.85,0.5111,5.905
candidate_136,8,19.56,0.4387,5.903
candidate_136,9,-7.7,0.4289,6.678
candidate_137,1,-6.27,0.984,7.339
candidate_137,2,-6.42,0.9637,7.073
candidate_137,3,-6.4,0.9623,6.93
candidate_137,4,-6.19,0.9586,7.078
candidate_137,5,-6.51,0.9571,7.024
candidate_137,6,-5.95,0.9453,7.048
candidate_137,7,-5.98,0.9378,6.572
candidate_137,8,-7.22,0.9242,6.615
candidate_137,9,-5.75,0.9041,6.94
candidate_138,1,-5.85,0.7922,6.649
candidate_138,2,-1.48,0.6955,4.245
candidate_138,3,18.14,0.6313,5.433
candidate_138,4,-1.65,0.6269,5.932
candidate_138,5,4.61,0.6151,6.211
candidate_138,6,0.72,0.6134,5.697
candidate_138,7,10.68,0.6117,6.037
candidate_138,8,4.81,0.595,5.932
