Time (ns)	RMSD	RMSF	rGyr	SASA
0	0	0.638	5.101	175.275
0.2	2.353	0.677	5.446	221.358
0.4	3.288	0.484	5.324	239.923
0.6	3.463	0.607	5.361	170.859
0.8	3.114	0.5	5.39	194.584
1	3.891	0.471	5.404	202.483
1.2	4.001	0.624	5.404	152.726
1.4	3.291	0.525	5.366	167.241
1.6	3.72	0.766	5.292	193.273
1.8	3.128	1.463	5.612	244.138
2	3.219	0.808	5.555	228.976
2.2	3.462	0.526	5.577	249.98
2.4	4.306	0.838	5.365	266.304
2.6	3.587	1.033	5.467	223.747
2.8	3.847	1.486	5.441	299.711
3	3.504	1.644	5.489	297.848
3.2	3.964	0.9	5.593	284.582
3.4	3.786	0.67	5.64	292.194
3.6	3.437	0.395	5.579	235.954
3.8	3.477	0.834	5.6	216.857
4	3.845	0.968	5.531	214.2
4.2	3.073	0.523	5.567	244.388
4.4	3.431	0.753	5.274	235.87
4.6	4.397	0.95	5.454	239.007
4.8	3.492	1.091	5.455	282.261
5	3.884	0.567	5.421	226.747
5.2	3.186	0.636	5.471	197.742
5.4	3.832		5.461	270.479
5.6	4.072		5.367	273.942
5.8	3.993		5.064	320.709
6	3.312		5.321	256.713
6.2	4.305		5.191	250.347
6.4	3.852		5.28	256.602
6.6	4.789		5.544	327.111
6.8	3.902		5.367	310.258
7	3.5		5.429	287.325
7.2	3.61		5.41	265.252
7.4	4.154		4.992	259.431
7.6	6.146		5.228	302.811
7.8	5.166		5.429	357.383
8	4.516		5.175	273.379
8.2	4.625		4.949	277.137
8.4	5.222		5.205	269.039
8.6	4.8		5.374	276.175
8.8	4.533		5.175	252.591
9	4.168		5.342	237.944
9.2	5.721		4.925	257.188
9.4	4.878		5.308	287.337
9.6	6.19		5.297	304.011
9.8	6.341		5.514	262.599
10	4.834		5.203	326.93
10.2	3.857		5.234	292.306
10.4	5.951		5.31	299.81
10.6	6.304		5.368	210.718
10.8	6.083		5.265	235.384
11	3.374		5.122	273.267
11.2	3.85		5.226	274.216
11.4	5.483		5.386	213.031
11.6	5.37		5.27	195.448
11.8	5.838		5.252	224.229
12	6.06		5.323	236.565
12.2	6.939		5.312	261.264
12.4	6.608		5.502	273.664
12.6	5.951		5.382	208.326
12.8	6.295		5.387	241.917
13	6.605		5.283	221.851
13.2	6.203		5.217	245.721
13.4	7.104		5.357	226.995
13.6	6.865		5.361	210.272
13.8	6.564		5.417	271.143
14	4.22		5.149	286.392
14.2	5.636		4.68	255.421
14.4	5.795		4.904	275.056
14.6	4.831		5.181	299.419
14.8	5.888		5.27	224.107
15	6.793		5.471	238.154
15.2	6.03		5.353	243.793
15.4	6.393		5.213	264.91
15.6	4.369		5.257	261.174
15.8	7.476		5.417	188.233
16	8.981		5.455	206.184
16.2	7.74		5.382	215.612
16.4	8.181		5.392	194.387
16.6	7.017		5.297	173.89
16.8	7.246		5.466	193.923
17	8.435		5.484	185.37
17.2	8.339		5.473	190.82
17.4	7.643		5.341	208.841
17.6	8.072		5.492	174.165
17.8	8.651		5.481	151.247
18	8.252		5.41	189.066
18.2	7.891		5.424	192.311
18.4	8.068		5.415	205.66
18.6	7.356		5.231	196.878
18.8	7.895		5.433	201.645
19	7.426		5.444	193.837
19.2	7.678		5.372	202.395
19.4	5.085		5.284	254.716
19.6	6.602		5.111	155.192
19.8	4.847		5.029	176.935
20	6.385		5.135	152.675
20.2	6.19		5.054	161.717
20.4	6.32		5.054	170.545
20.6	6.818		5.204	165.224
20.8	6.816		4.775	162.855
21	6.611		4.863	176.33
21.2	5.387		4.987	149.619
21.4	6.175		5.118	189.958
