Domain,Ligand,Replica,Frame,dG_bind
JH1,227,1,000,-27.20398848000024
JH1,227,1,001,-32.46286447999978
JH1,227,1,002,-35.403718080000154
JH1,227,1,003,-32.841907919999635
JH1,227,1,004,-31.809969599999903
JH1,227,1,005,-35.72411112000045
JH1,227,1,006,-33.1389623199997
JH1,227,1,007,-35.22660567999982
JH1,227,1,008,-29.410383040000028
JH1,227,1,009,-30.302722639999786
JH1,227,1,010,-31.7555360800001
JH1,227,1,011,-31.45507496000053
JH1,227,1,012,-27.45731976000033
JH1,227,1,013,-36.28464975999999
JH1,227,1,014,-32.98764144000025
JH1,227,1,015,-35.388966319999824
JH1,227,1,016,-32.68627112000019
JH1,227,1,017,-33.8430038400001
JH1,227,1,018,-34.20701264000021
JH1,227,1,019,-33.57137767999994
JH1,227,1,020,-32.83604231999957
JH1,227,1,021,-33.23152615999991
JH1,227,1,022,-35.074234800000035
JH1,227,1,023,-39.770266239999984
JH1,227,1,024,-35.47473271999998
JH1,227,1,025,-33.75222287999972
JH1,227,1,026,-36.65929599999993
JH1,227,1,027,-35.05076352000006
JH1,227,1,028,-34.4175304800003
JH1,227,1,029,-35.912246560000256
JH1,227,1,030,-40.1196160000004
JH1,227,1,031,-38.015186400000474
JH1,227,1,032,-33.58840015999973
JH1,227,1,033,-36.87670360000014
JH1,227,1,034,-35.92312360000024
JH1,227,1,035,-33.98506040000039
JH1,227,1,036,-37.26243720000021
JH1,227,1,037,-35.22071576000001
JH1,227,1,038,-37.588870480000566
JH1,227,1,039,-36.030558800000136
JH1,227,1,040,-36.436820240000095
JH1,227,1,041,-35.64852615999982
JH1,227,1,042,-30.625795200000347
JH1,227,1,043,-37.52032607999992
JH1,227,1,044,-35.73641720000031
JH1,227,1,045,-36.63375944000002
JH1,227,1,046,-36.17603431999976
JH1,227,1,047,-34.15564087999992
JH1,227,1,048,-36.81815455999989
JH1,227,1,049,-31.442239120000288
JH1,227,1,050,-33.833242799999795
JH1,227,1,051,-39.329605199999925
JH1,227,1,052,-36.49584159999995
JH1,227,1,053,-41.32668272000009
JH1,227,1,054,-36.15871471999996
JH1,227,1,055,-35.39228960000001
JH1,227,1,056,-38.344639920000205
JH1,227,1,057,-36.3652436
JH1,227,1,058,-40.76332263999996
JH1,227,1,059,-34.760793200000066
JH1,227,1,060,-30.846887999999772
JH1,227,1,061,-34.05325952000014
JH1,227,1,062,-34.93760664000004
JH1,227,1,063,-36.64877695999984
JH1,227,1,064,-31.74120576000013
JH1,227,1,065,-35.505841199999786
JH1,227,1,066,-39.846048159999526
JH1,227,1,067,-37.65972848000025
JH1,227,1,068,-35.995078719999924
JH1,227,1,069,-35.747100560000035
JH1,227,1,070,-36.60811144000013
JH1,227,1,071,-38.37306103999973
JH1,227,1,072,-34.964096720000015
JH1,227,1,073,-37.93837664000016
JH1,227,1,074,-33.0935761600002
JH1,227,1,075,-33.77445288000035
JH1,227,1,076,-37.86097400000015
JH1,227,1,077,-34.799472640000005
JH1,227,1,078,-34.42842200000009
JH1,227,1,079,-41.73050376000028
JH1,227,1,080,-36.15124776000059
JH1,227,1,081,-41.116899760000166
JH1,227,1,082,-37.5374472799998
JH1,227,1,083,-35.08551055999987
JH1,227,1,084,-33.05947447999995
JH1,227,1,085,-34.804995679999756
JH1,227,1,086,-34.49379288000004
JH1,227,1,087,-35.435484959999854
JH1,227,1,088,-36.17904591999951
JH1,227,1,089,-36.57021968000014
JH1,227,1,090,-34.2357287199997
JH1,227,1,091,-37.8233429599995
JH1,227,1,092,-38.15871952000023
JH1,227,1,093,-31.314189840000104
JH1,227,1,094,-35.64930976000001
JH1,227,1,095,-35.02640895999997
JH1,227,1,096,-33.53124584000042
JH1,227,1,097,-35.411051519999944
JH1,227,1,098,-33.980606799999805
JH1,227,1,099,-38.72617728000011
JH1,227,2,000,-36.668125519999776
JH1,227,2,001,-34.31946800000004
JH1,227,2,002,-28.87674352000001
JH1,227,2,003,-35.73495999999996
JH1,227,2,004,-34.83283048000027
JH1,227,2,005,-32.00303624000033
JH1,227,2,006,-33.57213384000001
JH1,227,2,007,-31.696484160000473
JH1,227,2,008,-30.62460967999996
JH1,227,2,009,-32.59089191999969
JH1,227,2,010,-33.82604000000063
JH1,227,2,011,-33.95715455999987
JH1,227,2,012,-37.66669919999986
JH1,227,2,013,-33.745870480000235
JH1,227,2,014,-35.83465912000067
JH1,227,2,015,-31.697608719999586
JH1,227,2,016,-32.67182519999965
JH1,227,2,017,-32.98632679999997
JH1,227,2,018,-29.910523440000375
JH1,227,2,019,-29.96081224000008
JH1,227,2,020,-32.2254495199994
JH1,227,2,021,-32.29360808000023
JH1,227,2,022,-35.47325792000022
JH1,227,2,023,-34.11942576000015
JH1,227,2,024,-36.83127215999989
JH1,227,2,025,-35.30300471999974
JH1,227,2,026,-32.17116104000016
JH1,227,2,027,-31.222582000000102
JH1,227,2,028,-34.196343760000296
JH1,227,2,029,-35.21427696000019
JH1,227,2,030,-36.88247056000017
JH1,227,2,031,-33.04834680000039
JH1,227,2,032,-35.96876991999996
JH1,227,2,033,-35.27888799999957
JH1,227,2,034,-34.640101920000276
JH1,227,2,035,-35.74196352000047
JH1,227,2,036,-36.245195039999814
JH1,227,2,037,-32.245631280000325
JH1,227,2,038,-24.50539032000041
JH1,227,2,039,-33.077725039999635
JH1,227,2,040,-33.46708272000008
JH1,227,2,041,-31.511268479999853
JH1,227,2,042,-34.16468848000057
JH1,227,2,043,-32.49388160000035
JH1,227,2,044,-28.70021263999972
JH1,227,2,045,-32.12064312000011
JH1,227,2,046,-28.236126799999667
JH1,227,2,047,-28.391281119999466
JH1,227,2,048,-36.32418015999961
JH1,227,2,049,-30.931945280000125
JH1,227,2,050,-31.184437520000223
JH1,227,2,051,-30.53353040000023
JH1,227,2,052,-34.974466079999836
JH1,227,2,053,-31.214323200000354
JH1,227,2,054,-29.44019776000041
JH1,227,2,055,-28.826676719999945
JH1,227,2,056,-27.917042719999948
JH1,227,2,057,-29.244375919999783
JH1,227,2,058,-31.16559072000026
JH1,227,2,059,-37.25033648000073
JH1,227,2,060,-34.25474040000005
JH1,227,2,061,-35.08145184000006
JH1,227,2,062,-31.027245919999892
JH1,227,2,063,-30.500068480000355
JH1,227,2,064,-27.4890532799998
JH1,227,2,065,-33.88327807999966
JH1,227,2,066,-29.225166799999982
JH1,227,2,067,-31.97611864000021
JH1,227,2,068,-29.202391280000086
JH1,227,2,069,-31.55796271999947
JH1,227,2,070,-29.147924480000693
JH1,227,2,071,-32.675523040000094
JH1,227,2,072,-28.9054102399996
JH1,227,2,073,-34.1730168799997
JH1,227,2,074,-35.31827287999988
JH1,227,2,075,-27.399041359999988
JH1,227,2,076,-34.525848639999424
JH1,227,2,077,-33.89164815999963
JH1,227,2,078,-28.908917999999936
JH1,227,2,079,-35.41256263999987
JH1,227,2,080,-37.28506095999968
JH1,227,2,081,-30.662466239999695
JH1,227,2,082,-31.919278080000474
JH1,227,2,083,-30.86046703999999
JH1,227,2,084,-29.72539967999976
JH1,227,2,085,-30.69691576000005
JH1,227,2,086,-29.78939576000001
JH1,227,2,087,-37.00574960000033
JH1,227,2,088,-33.969330000000106
JH1,227,2,089,-32.818484639999944
JH1,227,2,090,-31.840066959999966
JH1,227,2,091,-30.742966079999803
JH1,227,2,092,-26.849007439999763
JH1,227,2,093,-28.443012800000414
JH1,227,2,094,-30.26668871999971
JH1,227,2,095,-32.981439679999895
JH1,227,2,096,-31.153677680000165
JH1,227,2,097,-34.86103184000061
JH1,227,2,098,-35.40954208000023
