Domain,Ligand,Replica,vdW_mean,vdW_std,Elec_mean,Elec_std,Polar_Solv_mean,Polar_Solv_std,NonPolar_Solv_mean,NonPolar_Solv_std,Total_dG_mean,Total_dG_std
JH1,227,1,-43.122865000000004,3.209169489383627,0.0,0.0,13.125793999999978,1.5540454974177693,-5.250522916800001,0.3588183656991201,-35.24759191680004,2.712653606999074
JH1,227,2,-39.98701414141414,3.094861666322998,0.0,0.0,12.27416060606058,1.0211181423200217,-4.665473185454545,0.3452174884258806,-32.37832773090913,2.7431905845885147
JH1,227,3,-42.767807999999995,2.9105183412379896,0.0,0.0,12.952043000000044,1.2670634259996847,-5.038545225600001,0.37798483425927926,-34.854314225599964,2.59038411137051
JH1,299,1,-27.509635000000006,3.9344083235011897,0.0,0.0,24.11224099999997,3.0470788772960224,-4.361745686400002,0.4694044963433255,-7.759132686400047,4.175447757758257
JH1,299,2,-29.048937755102056,4.219343935236542,0.0,0.0,23.545406122448977,2.3204087956058714,-4.357012305306121,0.49493491941670525,-9.860545978775523,4.246153120086004
JH1,299,3,-34.29119081632655,3.833255199830591,0.0,0.0,17.25447244897961,2.0797559600979807,-4.6756625142857136,0.4833077511236985,-21.712384963265304,3.3806974458744845
JH2,227,1,-33.46038400000005,3.909135203667085,0.0,0.0,10.97925299999999,2.3158855551465427,-3.9374524872,0.44372312610272824,-26.418586487200045,3.4890817252797355
JH2,227,2,-33.23658899999999,3.0552849348812368,0.0,0.0,11.233830000000003,1.7648675716193052,-3.988740765599998,0.2735866388254644,-25.99149576559998,2.7103350311421006
JH2,227,3,-31.360126000000022,2.248133548354349,0.0,0.0,10.793955999999998,1.3224959328436179,-3.6195537888000002,0.29113870192824054,-24.185719788800032,2.0848428431371633
JH2,253,1,-26.838513999999964,4.324957850860642,0.0,0.0,8.652605000000008,1.8945308168608075,-3.271893638399999,0.5233264009089553,-21.457805638399964,3.6809683236445316
JH2,253,2,-37.75808599999999,2.7198321450740006,0.0,0.0,12.85673200000003,1.1283959695143384,-4.474950552000002,0.300194262259956,-29.37629955199995,2.4428850885977194
JH2,253,3,-39.24390808080807,3.3918757433764006,0.0,0.0,14.424174747474744,2.003210591818051,-4.9990000654545454,0.48095987796051537,-29.818736429090926,3.3190760167114863
JH2,306,1,-40.28696799999999,1.9523743827142384,0.0,0.0,14.52975899999999,0.8908976410833493,-5.0272648704000025,0.2170187929001147,-30.7844758704,2.170630858931666
JH2,306,2,-42.47673300000004,2.03695046339231,0.0,0.0,15.58482700000001,1.1406235668189937,-5.2472718936000025,0.2680951694504537,-32.13917689360003,2.2476050052131864
JH2,306,3,-40.56950707070702,2.3457961734554913,0.0,0.0,14.006778787878801,1.0934521481343606,-4.813957120000003,0.2698313293334796,-31.376685402828237,2.203836392425381
