Domain,Ligand,Replica,Frame,vdW,Elec,Polar_Solv,NonPolar_Solv,Total_dG
JH1,227,1,000,-34.14840000000026,0.0,11.167199999999866,-4.2227884799999895,-27.20398848000024
JH1,227,1,001,-40.205999999999946,0.0,12.89980000000014,-5.15666447999999,-32.46286447999978
JH1,227,1,002,-43.84560000000023,0.0,13.902199999999992,-5.460418079999997,-35.403718080000154
JH1,227,1,003,-40.84099999999988,0.0,13.1246000000001,-5.125507919999994,-32.841907919999635
JH1,227,1,004,-39.14250000000024,0.0,12.262500000000273,-4.929969600000019,-31.809969599999903
JH1,227,1,005,-42.41480000000034,0.0,11.633899999999812,-4.943211119999994,-35.72411112000045
JH1,227,1,006,-40.71489999999992,0.0,12.577800000000025,-5.001862319999988,-33.1389623199997
JH1,227,1,007,-43.461899999999694,0.0,13.4695999999999,-5.234305680000002,-35.22660567999982
JH1,227,1,008,-36.2626000000001,0.0,11.361699999999928,-4.509383039999991,-29.410383040000028
JH1,227,1,009,-36.975700000000046,0.0,11.265200000000275,-4.592222640000001,-30.302722639999786
JH1,227,1,010,-37.33640000000011,0.0,10.031500000000053,-4.450636080000002,-31.7555360800001
JH1,227,1,011,-37.49030000000029,0.0,10.61369999999988,-4.578474960000007,-31.45507496000053
JH1,227,1,012,-33.70620000000014,0.0,10.668299999999816,-4.419419760000004,-27.45731976000033
JH1,227,1,013,-42.38999999999997,0.0,11.359699999999975,-5.254349759999993,-36.28464975999999
JH1,227,1,014,-40.648599999999774,0.0,12.975999999999658,-5.315041439999995,-32.98764144000025
JH1,227,1,015,-43.219499999999606,0.0,13.086699999999835,-5.256166320000004,-35.388966319999824
JH1,227,1,016,-39.50019999999985,0.0,11.603499999999713,-4.789671119999992,-32.68627112000019
JH1,227,1,017,-41.54170000000015,0.0,12.75610000000006,-5.0574038399999965,-33.8430038400001
JH1,227,1,018,-40.77710000000013,0.0,11.724099999999908,-5.153912639999995,-34.20701264000021
JH1,227,1,019,-40.34959999999988,0.0,11.721000000000004,-4.942777680000005,-33.57137767999994
JH1,227,1,020,-39.14529999999983,0.0,10.927000000000136,-4.617742320000006,-32.83604231999957
JH1,227,1,021,-39.499900000000046,0.0,10.994599999999991,-4.726226159999991,-33.23152615999991
JH1,227,1,022,-45.39089999999968,0.0,16.179499999999734,-5.862934799999996,-35.074234800000035
JH1,227,1,023,-49.298999999999936,0.0,15.35629999999992,-5.82756624,-39.770266239999984
JH1,227,1,024,-45.6622000000002,0.0,15.902000000000044,-5.714532719999996,-35.47473271999998
JH1,227,1,025,-44.347199999999845,0.0,16.153200000000197,-5.558222879999995,-33.75222287999972
JH1,227,1,026,-48.89329999999968,0.0,17.88819999999987,-5.6541960000000016,-36.65929599999993
JH1,227,1,027,-46.51589999999997,0.0,17.24519999999984,-5.780063520000012,-35.05076352000006
JH1,227,1,028,-45.79180000000036,0.0,16.973500000000058,-5.599230479999995,-34.4175304800003
JH1,227,1,029,-47.91240000000003,0.0,17.90209999999979,-5.901946560000005,-35.912246560000256
JH1,227,1,030,-47.754500000000064,0.0,13.201599999999871,-5.566716000000005,-40.1196160000004
JH1,227,1,031,-44.71310000000013,0.0,12.022399999999834,-5.324486400000007,-38.01518640000048
JH1,227,1,032,-40.910699999999714,0.0,12.504699999999955,-5.182400159999991,-33.58840015999973
JH1,227,1,033,-43.66030000000007,0.0,11.922599999999877,-5.1390036000000014,-36.87670360000014
JH1,227,1,034,-43.51160000000004,0.0,12.886599999999817,-5.298123599999999,-35.92312360000024
JH1,227,1,035,-40.70900000000008,0.0,11.625299999999696,-4.901360400000009,-33.98506040000039
JH1,227,1,036,-44.771699999999775,0.0,12.834399999999732,-5.325037200000015,-37.26243720000021
JH1,227,1,037,-43.0608999999999,0.0,12.889999999999873,-5.049815760000007,-35.22071576000001
JH1,227,1,038,-45.86250000000036,0.0,13.766299999999774,-5.492670479999987,-37.588870480000566
JH1,227,1,039,-44.9979000000002,0.0,14.550700000000234,-5.583358800000003,-36.030558800000136
JH1,227,1,040,-46.733100000000064,0.0,15.786399999999958,-5.490120239999993,-36.436820240000095
JH1,227,1,041,-42.9811000000001,0.0,12.651900000000296,-5.319326160000011,-35.64852615999982
JH1,227,1,042,-38.21170000000022,0.0,13.044599999999718,-5.458795199999997,-30.625795200000347
JH1,227,1,043,-44.60539999999981,0.0,12.289099999999962,-5.204026079999982,-37.52032607999992
JH1,227,1,044,-41.92060000000011,0.0,11.284299999999805,-5.100217199999989,-35.73641720000031
JH1,227,1,045,-44.05310000000027,0.0,12.702900000000229,-5.283559440000008,-36.63375944000002
JH1,227,1,046,-43.2927,0.0,12.275300000000245,-5.158534319999998,-36.17603431999976
JH1,227,1,047,-42.35420000000008,0.0,13.389500000000226,-5.191040879999999,-34.15564087999992
JH1,227,1,048,-43.3621,0.0,11.74220000000014,-5.198254559999989,-36.81815455999989
JH1,227,1,049,-39.91300000000008,0.0,13.061999999999898,-4.59123912000001,-31.442239120000288
JH1,227,1,050,-41.19410000000008,0.0,12.346300000000156,-4.985542800000001,-33.833242799999795
JH1,227,1,051,-46.31339999999996,0.0,12.322799999999916,-5.33900520000001,-39.329605199999925
JH1,227,1,052,-45.638300000000086,0.0,14.887000000000173,-5.74454160000001,-36.49584159999995
JH1,227,1,053,-49.234999999999935,0.0,13.711499999999887,-5.803182720000008,-41.32668272000009
JH1,227,1,054,-42.36079999999998,0.0,11.033699999999952,-4.831614719999993,-36.15871471999996
JH1,227,1,055,-42.69649999999998,0.0,12.173699999999826,-4.869489599999998,-35.39228960000001
JH1,227,1,056,-47.45589999999995,0.0,14.915799999999765,-5.804539920000005,-38.344639920000205
JH1,227,1,057,-44.14579999999964,0.0,13.154099999999744,-5.373543600000015,-36.3652436
JH1,227,1,058,-49.69700000000018,0.0,14.566200000000208,-5.632622639999993,-40.76332263999996
JH1,227,1,059,-42.08010000000007,0.0,12.51279999999997,-5.193493200000008,-34.760793200000066
JH1,227,1,060,-39.61269999999984,0.0,13.56750000000011,-4.801787999999989,-30.84688799999977
JH1,227,1,061,-41.9092999999998,0.0,12.88859999999977,-5.032559519999992,-34.05325952000014
JH1,227,1,062,-42.046299999999874,0.0,12.498999999999796,-5.390306639999993,-34.93760664000004
JH1,227,1,063,-44.90759999999977,0.0,13.699399999999969,-5.44047696,-36.64877695999984
JH1,227,1,064,-41.81059999999974,0.0,15.57739999999967,-5.508005760000007,-31.74120576000013
JH1,227,1,065,-43.41309999999977,0.0,12.883600000000117,-4.976341200000009,-35.505841199999786
JH1,227,1,066,-48.190699999999744,0.0,13.921000000000276,-5.576348159999991,-39.846048159999526
JH1,227,1,067,-44.53120000000004,0.0,12.186499999999796,-5.315028479999983,-37.65972848000025
JH1,227,1,068,-45.31449999999977,0.0,14.761199999999915,-5.441778720000007,-35.995078719999924
JH1,227,1,069,-42.6724000000002,0.0,12.11180000000013,-5.186500560000016,-35.747100560000035
JH1,227,1,070,-45.67609999999997,0.0,14.639799999999925,-5.571811439999993,-36.60811144000013
JH1,227,1,071,-45.90680000000005,0.0,12.92910000000029,-5.395361039999983,-38.37306103999973
JH1,227,1,072,-43.42060000000015,0.0,13.73090000000002,-5.274396719999991,-34.964096720000015
JH1,227,1,073,-44.93610000000032,0.0,12.03560000000016,-5.037776640000011,-37.93837664000016
JH1,227,1,074,-40.28960000000011,0.0,12.221599999999851,-5.025476160000002,-33.0935761600002
JH1,227,1,075,-40.87499999999999,0.0,12.388499999999569,-5.28795288000001,-33.77445288000035
JH1,227,1,076,-45.543300000000286,0.0,13.357500000000073,-5.675273999999995,-37.86097400000015
JH1,227,1,077,-42.992800000000045,0.0,13.326900000000023,-5.13357264,-34.799472640000005
JH1,227,1,078,-40.31930000000005,0.0,10.823300000000016,-4.9325220000000005,-34.42842200000009
JH1,227,1,079,-49.56080000000018,0.0,13.67599999999993,-5.845703759999994,-41.73050376000028
JH1,227,1,080,-44.93960000000031,0.0,14.144599999999627,-5.356247760000005,-36.15124776000059
JH1,227,1,081,-49.21340000000009,0.0,13.786799999999856,-5.690399760000009,-41.116899760000166
JH1,227,1,082,-47.21999999999996,0.0,15.517900000000282,-5.835347279999995,-37.5374472799998
JH1,227,1,083,-42.27209999999966,0.0,12.332499999999982,-5.145910559999996,-35.08551055999987
JH1,227,1,084,-40.58950000000002,0.0,12.580500000000027,-5.050374480000006,-33.05947447999995
JH1,227,1,085,-42.45260000000011,0.0,12.75960000000032,-5.111995680000005,-34.80499567999976
JH1,227,1,086,-41.54959999999989,0.0,12.159799999999905,-5.103992880000009,-34.49379288000004
JH1,227,1,087,-42.738699999999774,0.0,12.378400000000056,-5.075184960000001,-35.435484959999854
JH1,227,1,088,-44.13779999999959,0.0,13.293900000000122,-5.33504592,-36.17904591999951
JH1,227,1,089,-44.567700000000286,0.0,13.609300000000076,-5.611819679999992,-36.57021968000014
JH1,227,1,090,-42.34159999999976,0.0,13.245800000000145,-5.13982872000001,-34.2357287199997
JH1,227,1,091,-46.24159999999979,0.0,14.1537000000003,-5.735442960000003,-37.8233429599995
JH1,227,1,092,-45.638200000000026,0.0,12.937199999999848,-5.457719519999994,-38.15871952000023
JH1,227,1,093,-39.57670000000031,0.0,13.11700000000019,-4.854489839999985,-31.314189840000104
JH1,227,1,094,-43.98229999999997,0.0,13.811799999999948,-5.478809759999999,-35.64930976000001
JH1,227,1,095,-42.84250000000005,0.0,13.20029999999997,-5.384208960000013,-35.02640895999997
JH1,227,1,096,-41.39850000000027,0.0,12.997899999999843,-5.130645839999996,-33.53124584000042
JH1,227,1,097,-42.481100000000126,0.0,12.48680000000013,-5.416751519999988,-35.411051519999944
JH1,227,1,098,-42.83929999999994,0.0,14.512900000000172,-5.654206799999985,-33.980606799999805
JH1,227,1,099,-45.70790000000019,0.0,12.544100000000071,-5.562377280000009,-38.72617728000011
JH1,227,2,001,-41.33080000000005,0.0,11.635200000000168,-4.623767999999991,-34.31946800000004
JH1,227,2,002,-36.922700000000106,0.0,12.433899999999994,-4.38794351999999,-28.87674352000001
JH1,227,2,003,-43.17009999999991,0.0,12.329600000000028,-4.894559999999996,-35.73495999999996
JH1,227,2,004,-42.66179999999996,0.0,12.785599999999704,-4.956630479999999,-34.83283048000027
JH1,227,2,005,-39.09540000000012,0.0,11.659299999999805,-4.566936240000009,-32.00303624000033
JH1,227,2,006,-41.75939999999981,0.0,13.061699999999746,-4.874433840000004,-33.57213384000001
JH1,227,2,007,-39.64070000000016,0.0,12.548599999999624,-4.604384160000004,-31.69648416000048
JH1,227,2,008,-38.71970000000015,0.0,12.737700000000132,-4.642609680000004,-30.62460967999996
JH1,227,2,009,-39.62199999999975,0.0,11.467000000000098,-4.435891920000004,-32.59089191999969
JH1,227,2,010,-42.2924000000002,0.0,13.349399999999603,-4.883039999999991,-33.82604000000063
JH1,227,2,011,-41.33460000000003,0.0,12.175200000000132,-4.797754560000011,-33.95715455999987
JH1,227,2,012,-45.85969999999956,0.0,13.393099999999777,-5.200099199999995,-37.66669919999986
JH1,227,2,013,-42.01580000000008,0.0,13.142499999999927,-4.872570480000012,-33.745870480000235
JH1,227,2,014,-43.93210000000043,0.0,12.92699999999968,-4.829559119999996,-35.83465912000067
JH1,227,2,015,-39.7768999999999,0.0,13.000600000000304,-4.921308720000006,-31.697608719999582
JH1,227,2,016,-40.30489999999992,0.0,12.356300000000374,-4.723225199999989,-32.67182519999965
JH1,227,2,017,-40.428600000000216,0.0,11.941600000000108,-4.499326799999995,-32.98632679999997
JH1,227,2,018,-36.79489999999995,0.0,11.149999999999636,-4.265623439999997,-29.91052344000037
JH1,227,2,019,-37.28830000000017,0.0,11.590900000000149,-4.263312239999998,-29.96081224000008
JH1,227,2,020,-39.80159999999973,0.0,12.00400000000036,-4.427849519999992,-32.2254495199994
JH1,227,2,021,-40.3470000000004,0.0,12.589500000000044,-4.536208080000007,-32.29360808000023
JH1,227,2,022,-42.354300000000144,0.0,11.60030000000006,-4.719157919999999,-35.47325792000022
JH1,227,2,023,-41.89840000000044,0.0,12.429000000000087,-4.650125759999988,-34.11942576000015
JH1,227,2,024,-44.82050000000008,0.0,12.960300000000188,-4.970972159999994,-36.83127215999989
JH1,227,2,025,-43.544,0.0,13.257100000000264,-5.016204719999997,-35.30300471999974
JH1,227,2,026,-40.56679999999992,0.0,13.277099999999791,-4.881461039999991,-32.17116104000016
JH1,227,2,027,-38.706700000000126,0.0,12.009199999999964,-4.52518200000001,-31.222582000000106
JH1,227,2,028,-42.330900000000014,0.0,13.105099999999766,-4.970543759999996,-34.196343760000296
JH1,227,2,029,-44.48860000000023,0.0,14.131600000000162,-4.857276959999998,-35.21427696000019
JH1,227,2,030,-44.150300000000016,0.0,12.07569999999987,-4.807870560000001,-36.88247056000017
JH1,227,2,031,-41.72370000000024,0.0,13.710999999999784,-5.035546800000002,-33.04834680000039
JH1,227,2,032,-44.48519999999981,0.0,13.534099999999851,-5.017669920000012,-35.96876991999996
JH1,227,2,033,-43.7148999999996,0.0,13.514900000000123,-5.078987999999999,-35.27888799999957
JH1,227,2,034,-41.916000000000224,0.0,11.996099999999842,-4.720201919999997,-34.64010192000028
JH1,227,2,035,-43.31590000000017,0.0,12.50799999999981,-4.934063520000005,-35.74196352000047
JH1,227,2,036,-43.935499999999806,0.0,12.42450000000008,-4.73409504,-36.24519503999981
JH1,227,2,037,-40.0722000000002,0.0,12.33770000000004,-4.511231279999995,-32.245631280000325
JH1,227,2,038,-31.435500000000147,0.0,10.99409999999989,-4.06399032,-24.50539032000041
JH1,227,2,039,-40.92569999999967,0.0,12.49180000000024,-4.643825039999999,-33.077725039999635
JH1,227,2,040,-41.60690000000002,0.0,13.009700000000066,-4.869882719999996,-33.46708272000008
JH1,227,2,041,-38.43729999999989,0.0,11.724099999999908,-4.79806848,-31.511268479999853
JH1,227,2,042,-42.06640000000036,0.0,12.61319999999978,-4.711488480000004,-34.16468848000057
JH1,227,2,043,-40.39550000000029,0.0,12.63149999999996,-4.729881600000003,-32.49388160000035
JH1,227,2,044,-36.13689999999991,0.0,11.790400000000318,-4.353812639999994,-28.70021263999972
JH1,227,2,045,-39.55820000000008,0.0,12.176899999999932,-4.739343120000006,-32.12064312000011
JH1,227,2,046,-37.15809999999985,0.0,13.52390000000014,-4.601926800000006,-28.236126799999667
JH1,227,2,047,-34.263799999999826,0.0,9.794600000000171,-3.921981119999994,-28.391281119999466
JH1,227,2,048,-45.79459999999992,0.0,14.662000000000262,-5.191580159999994,-36.32418015999961
JH1,227,2,049,-38.28869999999991,0.0,12.189699999999904,-4.832945280000008,-30.931945280000125
JH1,227,2,050,-38.64429999999994,0.0,11.821399999999812,-4.361537520000011,-31.184437520000223
JH1,227,2,051,-37.14179999999984,0.0,10.968999999999596,-4.360730400000003,-30.53353040000023
JH1,227,2,052,-43.34859999999978,0.0,13.284299999999805,-4.910266080000002,-34.97446607999984
JH1,227,2,053,-38.44310000000015,0.0,11.742499999999836,-4.513723200000012,-31.214323200000354
JH1,227,2,054,-36.749399999999866,0.0,11.637199999999666,-4.327997760000008,-29.44019776000041
JH1,227,2,055,-36.387100000000025,0.0,12.18600000000015,-4.625676720000017,-28.826676719999945
JH1,227,2,056,-36.065899999999786,0.0,12.316199999999752,-4.167342719999986,-27.917042719999948
JH1,227,2,057,-39.15889999999979,0.0,14.661599999999908,-4.747075919999999,-29.244375919999783
JH1,227,2,058,-38.1580999999999,0.0,11.416199999999662,-4.423590720000009,-31.16559072000026
JH1,227,2,059,-45.03950000000045,0.0,12.910799999999654,-5.121636479999999,-37.25033648000073
JH1,227,2,060,-42.45549999999971,0.0,13.00769999999966,-4.807040399999998,-34.25474040000005
JH1,227,2,061,-43.416900000000005,0.0,13.47629999999981,-5.140851839999989,-35.08145184000006
JH1,227,2,062,-40.881399999999694,0.0,14.606899999999769,-4.752745920000004,-31.02724591999989
JH1,227,2,063,-38.03550000000031,0.0,12.531500000000053,-4.996068480000009,-30.500068480000355
JH1,227,2,064,-34.92530000000006,0.0,11.27390000000014,-3.837653280000004,-27.4890532799998
JH1,227,2,065,-41.84969999999996,0.0,13.036600000000362,-5.0701780800000025,-33.88327807999966
JH1,227,2,066,-36.48989999999996,0.0,12.027500000000146,-4.762666799999993,-29.225166799999982
JH1,227,2,067,-39.06820000000013,0.0,11.980799999999816,-4.8887186399999925,-31.97611864000021
JH1,227,2,068,-36.40540000000029,0.0,11.088200000000144,-3.885191279999985,-29.20239128000009
JH1,227,2,069,-38.30149999999983,0.0,10.868400000000292,-4.124862719999985,-31.55796271999947
JH1,227,2,070,-37.263600000000366,0.0,12.547299999999725,-4.431624480000006,-29.147924480000693
JH1,227,2,071,-39.8893999999998,0.0,11.731899999999769,-4.5180230400000045,-32.675523040000094
JH1,227,2,072,-36.84069999999983,0.0,12.31670000000031,-4.381410240000012,-28.9054102399996
JH1,227,2,073,-40.69759999999992,0.0,11.328300000000128,-4.803716879999987,-34.1730168799997
JH1,227,2,074,-43.719800000000376,0.0,13.363500000000386,-4.961972880000008,-35.31827287999988
JH1,227,2,075,-33.47630000000015,0.0,9.616500000000087,-3.5392413599999943,-27.399041359999988
JH1,227,2,076,-41.65369999999956,0.0,11.765200000000275,-4.637348639999999,-34.525848639999424
JH1,227,2,077,-40.45729999999974,0.0,11.243800000000192,-4.6781481599999815,-33.89164815999963
JH1,227,2,078,-35.661199999999866,0.0,10.948100000000068,-4.195817999999996,-28.908917999999936
JH1,227,2,079,-43.34780000000007,0.0,12.812400000000252,-4.877162639999995,-35.41256263999987
JH1,227,2,080,-43.76349999999968,0.0,11.42360000000008,-4.945260959999994,-37.28506095999968
JH1,227,2,081,-38.009699999999874,0.0,11.933700000000044,-4.586466240000005,-30.66246623999969
JH1,227,2,082,-40.196300000000114,0.0,13.03939999999966,-4.762378079999999,-31.91927808000048
JH1,227,2,083,-37.99400000000007,0.0,11.733600000000024,-4.600067039999997,-30.86046703999999
JH1,227,2,084,-35.72839999999998,0.0,10.168700000000172,-4.165699679999994,-29.72539967999976
JH1,227,2,085,-37.60960000000023,0.0,11.19489999999996,-4.282115760000006,-30.69691576000005
JH1,227,2,086,-36.779599999999874,0.0,11.472299999999905,-4.482095760000004,-29.78939576000001
JH1,227,2,087,-45.76130000000001,0.0,14.384099999999762,-5.628549600000012,-37.00574960000033
JH1,227,2,088,-42.1804000000001,0.0,13.135600000000068,-4.924529999999999,-33.969330000000106
JH1,227,2,089,-40.837699999999984,0.0,13.150700000000144,-5.131484639999998,-32.818484639999944
JH1,227,2,090,-38.84869999999973,0.0,11.793999999999867,-4.785366960000005,-31.84006695999997
JH1,227,2,091,-36.72679999999972,0.0,10.291099999999917,-4.307266079999991,-30.742966079999803
JH1,227,2,092,-33.403799999999784,0.0,10.539400000000114,-3.984607440000008,-26.849007439999763
JH1,227,2,093,-34.17210000000023,0.0,10.05789999999979,-4.328812800000012,-28.44301280000041
JH1,227,2,094,-38.18609999999976,0.0,12.212800000000245,-4.293288719999996,-30.26668871999971
JH1,227,2,095,-39.95029999999976,0.0,11.960399999999936,-4.991539679999991,-32.981439679999895
JH1,227,2,096,-37.88100000000016,0.0,11.534299999999805,-4.806877679999992,-31.153677680000165
JH1,227,2,097,-42.43090000000035,0.0,12.748699999999644,-5.178831840000001,-34.86103184000061
JH1,227,2,098,-43.6871,0.0,13.40269999999964,-5.1250420800000125,-35.40954208000023
JH1,227,2,099,-39.4027999999999,0.0,11.694999999999707,-4.625190720000008,-32.33299072000029
JH1,227,3,000,-34.00509999999973,0.0,11.08010000000013,-4.031591039999999,-26.95659103999964
JH1,227,3,001,-40.97770000000041,0.0,11.393500000000133,-4.831187760000007,-34.415387760000314
JH1,227,3,002,-44.650400000000026,0.0,14.27039999999988,-5.28301008,-35.66311008000029
JH1,227,3,003,-43.20179999999983,0.0,12.897699999999986,-4.939430400000013,-35.24343039999993
JH1,227,3,004,-40.72020000000013,0.0,13.54430000000002,-4.747175999999994,-31.92307599999993
JH1,227,3,005,-39.779699999999934,0.0,14.907999999999902,-4.982795280000001,-29.85449528000009
JH1,227,3,006,-41.072499999999735,0.0,13.109899999999923,-4.995261359999995,-32.95786135999985
JH1,227,3,007,-46.9941,0.0,12.897699999999986,-5.238693360000001,-39.33509336000003
JH1,227,3,008,-38.90350000000007,0.0,12.853100000000268,-4.75331688,-30.803716879999847
JH1,227,3,009,-35.52410000000013,0.0,11.054999999999836,-4.0862433599999886,-28.555243360000105
JH1,227,3,010,-40.95479999999979,0.0,12.578700000000026,-4.720605839999999,-33.09670583999977
JH1,227,3,011,-35.92490000000019,0.0,11.301300000000085,-4.07112696000002,-28.694726960000217
JH1,227,3,012,-39.21290000000024,0.0,10.967000000000098,-4.630419359999998,-32.876319360000046
JH1,227,3,013,-37.18360000000034,0.0,12.0313000000001,-4.525331039999991,-29.67763104000013
JH1,227,3,014,-44.10789999999994,0.0,12.621699999999691,-5.155092000000007,-36.64129200000036
JH1,227,3,015,-40.11760000000007,0.0,11.952600000000077,-4.596201360000007,-32.76120136000003
JH1,227,3,016,-42.012199999999694,0.0,11.222099999999957,-4.720057200000008,-35.510157199999774
JH1,227,3,017,-41.66360000000018,0.0,14.404799999999796,-5.318082000000009,-32.57688200000049
JH1,227,3,018,-46.20779999999995,0.0,13.70640000000003,-5.054965919999992,-37.55636591999996
